Title,Labels,Reviewers,Assignees,Comments,Opened time,Closed time,Number of commits,Number of changed files,Number of participants 
Issue#2588 Update Mockito version to 2.1.0,cla: yes,,,Xaerxess: Mockito 2.1.0 is out! It should be a smooth upgrade from RC-1.  Xaerxess: See #2567 for context.  ,2016-10-04 14:31:23,2016-10-04 19:58:44,1,1,2
"Issue#2590 usage of American English spelling for ""license""",cla: yes,,,"manonthemat: for consistency 



              The text was updated successfully, but these errors were encountered:
              ",2016-10-04 22:12:37,2016-10-05 17:30:00,1,1,2
Issue#2592 micro sign,"package=base, type=api-docs, cla: no",,,"yecril71pl: The micro sign is a different character than Greek small letter mu.  The current rendering is in error.  Moreover, it does not print on an 8-bit console unless the code page is Greek, which is insane.  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  simon04: See #2593 for a discussion on this change.  cpovirk: Bulk closing all pull requests that are listed as needing CLA signing. If you'd like us to look at your pull request, you'll need to sign the CLA and report back here. If this is a false positive, I apologize. Please reopen the pull request, and we'll have a look.  ",2016-10-06 20:42:30,2017-01-09 20:04:52,2,2,5
Issue#2594 Test case added to prove functionality,"package=concurrent, cla: yes",,cgdecker,"bhdrkn: Added a new tests case that proves  RateLimiter
works even for very small numbers. Issue: #2231  ",2016-10-06 21:06:04,2017-01-31 19:41:43,1,1,4
Issue#2595 Update StopwatchTest.java,cla: no,,,"yecril71pl: Use micro sign for microsecond unit. 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  simon04: This PR seems to be a subset of #2592 and should be closed?  ",2016-10-06 21:13:50,2016-11-21 16:53:28,1,1,3
Issue#2604 Fix google/guava#2599,cla: yes,,,"vijaykcm: This change fixes a documentation error regarding the return type/value
of computeInPlace function.  ",2016-10-16 08:01:44,2016-10-17 16:38:15,1,1,2
Issue#2607 Update to GWT 2.8.0,cla: no,,,"freddyboucher: http://www.gwtproject.org/release-notes.html#Release_Notes_2_8_0  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  ",2016-10-24 22:43:50,2016-10-24 22:44:43,1,1,2
Issue#2608 Update to GWT 2.8.0,cla: yes,,,freddyboucher: http://www.gwtproject.org/release-notes.html#Release_Notes_2_8_0  ,2016-10-24 22:46:39,2016-10-25 19:08:51,1,1,2
Issue#2613 fixes serialization errors when serializing a RegularImmutableAsList,cla: no,,,"bjrke: the issue occur when ImmutableList is included in gwt's serialization
policy and ImmutableSet not and a list created by ImmutableSet.asList
needs to be serialized fixes #1841 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  ",2016-10-26 16:28:45,2016-10-26 16:41:25,1,1,2
Issue#2614 fixes serialization errors when serializing a RegularImmutableAsList,cla: yes,,cpovirk,"bjrke: the issue occur when ImmutableList is included in gwt's serialization
policy and ImmutableSet not and a list created by ImmutableSet.asList
needs to be serialized fixes #1841  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  bjrke: I signed it!  googlebot: We found a Contributor License Agreement for you (the sender of this pull request), but were unable to find agreements for the commit author(s).  If you authored these, maybe you used a different email address in the git commits than was used to sign the CLA (login here to double check)?  If these were authored by someone else, then they will need to sign a CLA as well, and confirm that they're okay with these being contributed to Google.  bjrke: I signed it!  googlebot: CLAs look good, thanks!  ",2016-10-26 16:41:47,2016-10-31 18:40:50,1,1,3
Issue#2615 Fix #1190,cla: yes,,,"jbduncan: Commit text body: Before this fix, splitting a single character input string with a
Splitter.onPattern instance created with a zero-width regex pattern,
would have caused the input string to be dropped from the output,
resulting in an empty iterable being returned rather than a single
element one. This fix ensures that the input passes through untouched. For example, whereas before in this code snippet, 'words' would have
been initialized as an empty iterable... ...it is now initialized as [""f""].  ",2016-10-28 16:42:41,2016-10-31 18:40:50,1,2,2
Issue#2618 Fix some typos in guava/*,cla: yes,,,sebkur: I found some typos in Javadoc comments and fixed them  ,2016-11-01 00:03:37,2016-11-01 17:20:46,1,17,2
Issue#2620 Link local address,cla: yes,,,"rudenvla: link-local address validation with percent and scope id  googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  rudenvla: I signed it  googlebot: CLAs look good, thanks!  nick-someone: Hi there! Thanks for sending us this PR! One thing I want to talk about here is that, while you've updated the validation function, InetAddresses.forString doesn't appear to preserve the scope part of the IPV6 address.  cpovirk: I am optimistically assuming that this got handled by 8a7d36a#diff-1207ec0a4b5d3f5e5c2236b7373eefc9, but please reopen if not.  ",2016-11-01 19:56:56,2020-01-13 21:26:11,2,2,4
Issue#2621 fix warning on eclipse4.6 (com.google.common.collect.MutableClassToInstanceMap),cla: yes,,,"hand515: Warning on eclipse , Bound mismatch: The generic method cast(Class<T>, B) of type MutableClassToInstanceMap<B> is not applicable for the arguments (capture#8-of ? extends Class<? extends B>, capture#12-of ? extends B). The inferred type capture#10-of ? extends B is not a valid substitute for the bounded parameter <T extends B> 



              The text was updated successfully, but these errors were encountered:
              googlebot: Thanks for your pull request.  It looks like this may be your first contribution to a Google open source project. Before we can look at your pull request, you'll need to sign a Contributor License Agreement (CLA). 📝 Please visit https://cla.developers.google.com/ to sign. Once you've signed, please reply here (e.g. I signed it!) and we'll verify.  Thanks.  hand515: I signed it!  googlebot: CLAs look good, thanks!  ",2016-11-02 03:35:05,2016-11-02 19:43:31,2,1,2
